Player,Age,Pos,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,Salary
Josh Hart,29,SG,77,37.6,13.6,9.6,5.9,1.5,0.4,0.525,0.333,18144000
Jarrett Allen,26,C,82,28.0,13.5,9.7,1.9,0.9,0.9,0.706,0.0,20000000
Onyeka Okongwu,24,C,74,27.9,13.4,8.9,2.3,0.9,0.9,0.567,0.324,14000000
Russell Westbrook,36,PG,75,27.9,13.3,4.9,6.1,1.4,0.5,0.449,0.323,5631296
Russell Westbrook,36,PG,75,27.9,13.3,4.9,6.1,1.4,0.5,0.449,0.323,5631296
Naji Marshall,27,SF,69,27.8,13.2,4.8,3.0,1.0,0.2,0.508,0.275,8571429
Dennis Schroder,31,PG,75,28.1,13.1,2.6,5.4,0.9,0.2,0.406,0.342,13025250
Rui Hachimura,26,PF,59,31.7,13.1,5.0,1.4,0.8,0.4,0.509,0.413,17000000
Brook Lopez,36,C,80,31.8,13.0,5.0,1.8,0.6,1.9,0.509,0.373,23000000
Alex Sarr,19,C,67,27.1,13.0,6.5,2.4,0.7,1.5,0.394,0.308,11245680
Moritz Wagner,27,C,30,18.8,12.9,4.9,1.4,0.8,0.4,0.562,0.36,11000000
Malcolm Brogdon,32,PG,24,23.5,12.7,3.8,4.1,0.5,0.2,0.433,0.286,22500000
Scoot Henderson,20,PG,66,26.7,12.7,3.0,5.1,1.0,0.2,0.419,0.354,10259160
Keldon Johnson,25,SF,77,23.9,12.7,4.8,1.6,0.6,0.3,0.482,0.318,19000000
D'Angelo Russell,28,PG,58,25.5,12.6,2.8,5.1,1.0,0.4,0.39,0.314,18692307
Zaccharie Risacher,19,SF,75,24.6,12.6,3.6,1.2,0.7,0.5,0.458,0.355,12569040
Santi Aldama,24,PF,65,25.5,12.5,6.4,2.9,0.8,0.4,0.483,0.368,3960531
Ty Jerome,27,SG,70,19.9,12.5,2.5,3.4,1.1,0.0,0.516,0.439,2560975
Keegan Murray,24,PF,76,34.3,12.4,6.7,1.4,0.8,0.9,0.444,0.343,8809560
Lonnie Walker IV,26,SG,20,23.9,12.4,3.2,2.5,0.5,0.3,0.42,0.354,780932
Harrison Barnes,32,PF,82,27.2,12.3,3.8,1.7,0.5,0.2,0.508,0.433,18000000
Bilal Coulibaly,20,SF,59,33.0,12.3,5.0,3.4,1.3,0.7,0.421,0.281,6945240
Ayo Dosunmu,25,SG,46,30.3,12.3,3.5,4.5,0.9,0.4,0.492,0.328,7000000
Daniel Gafford,26,C,57,21.5,12.3,6.8,1.4,0.4,1.8,0.702,,13394160
Jaden McDaniels,24,PF,82,31.9,12.2,5.7,2.0,1.3,0.9,0.477,0.33,23017242
Jabari Smith Jr.,21,PF,57,30.1,12.2,7.0,1.1,0.4,0.7,0.438,0.354,9770880
Caris LeVert,30,SG,64,24.9,12.1,3.2,3.4,0.9,0.5,0.467,0.373,16615384
Drew Timme,24,PF,9,28.2,12.1,7.2,2.2,0.4,0.1,0.441,0.257,113055
Tari Eason,23,PF,57,24.9,12.0,6.4,1.5,1.7,0.9,0.487,0.342,3695160
Rudy Gobert,32,C,72,33.2,12.0,10.9,1.8,0.8,1.4,0.669,,43827586
Aaron Nesmith,25,SF,45,25.0,12.0,4.0,1.2,0.8,0.4,0.507,0.431,11000000
Aaron Wiggins,26,SG,76,22.9,12.0,3.9,1.8,0.8,0.2,0.488,0.383,10514017
